scheme                        keygen (cyc)  keygen (us)      sign (cyc)   sign (us)    verify (cyc)  verify (us)
------                        ------------  -----------      ----------   ---------    ------------  ----------
UOV-V-classic                     16222818     10832.9          217888       145.6          186392       124.7
QR-UOV-I-(127,156,54,3)           17284074     11541.6         2772410      1851.3         2384617      1592.4
QR-UOV-I-(31,165,60,3)            22605917     15095.1         3670084      2450.7         3190129      2130.3
QR-UOV-I-(31,600,70,10)           69264061     46251.1        17267492     11530.4        16909717     11291.5
QR-UOV-I-(7,740,100,10)          222436023    148532.1        46629682     31137.0        45353675     30285.0
QR-UOV-III-(127,228,78,3)         67366534     44984.1         8665493      5786.4         7313391      4883.5
QR-UOV-III-(31,246,87,3)          89902070     60032.4        11274299      7528.4        10075621      6728.0
QR-UOV-III-(31,890,100,10)       286489786    191304.1        55975760     37377.8        52379869     34976.8
QR-UOV-III-(7,1100,140,10)       954269839    637213.6       157116273    104914.6       151929628    101451.1
QR-UOV-V-(127,306,105,3)         229703310    153384.5        21912645     14632.2        18713907     12496.4
QR-UOV-V-(31,324,114,3)          288860437    192887.2        28267980     18876.0        24886359     16618.1
QR-UOV-V-(31,1120,120,10)        726329675    485006.9       117418206     78406.3       114559444     76497.3
QR-UOV-V-(7,1490,190,10)        3182160506   2124886.6       399499752    266766.0       370652844    247503.9
MQOM2-L1-gf2-fast-r3                350652       234.2         2592664      1731.3         2091746      1396.8
MQOM2-L1-gf2-fast-r5                305288       203.9         2031160      1356.3         1786488      1193.0
MQOM2-L1-gf2-short-r3               352341       235.3         3966578      2648.7         3310414      2210.6
MQOM2-L1-gf2-short-r5               355941       237.7         3967321      2649.2         3421267      2284.6
MQOM2-L1-gf16-fast-r3               109984        73.4         1428725       954.0         1112745       743.1
MQOM2-L1-gf16-fast-r5               115087        76.9         1321882       882.7         1059997       707.8
MQOM2-L1-gf16-short-r3              106301        71.0         4178937      2790.5         3053612      2039.1
MQOM2-L1-gf16-short-r5              106278        71.0         3627545      2422.4         2953911      1972.5
MQOM2-L1-gf256-fast-r3              102782        68.6         1835019      1225.4         1431024       955.6
MQOM2-L1-gf256-fast-r5              110060        73.5         1777625      1187.0         1366889       912.8
MQOM2-L1-gf256-short-r3              71675        47.9         4924500      3288.4         3238036      2162.2
MQOM2-L1-gf256-short-r5              73843        49.3         4237102      2829.4         2752670      1838.2
MQOM2-L3-gf2-fast-r3               2384480      1592.3         9899903      6610.7         9434025      6299.6
MQOM2-L3-gf2-fast-r5               2461734      1643.9         9626749      6428.4         9319397      6223.2
MQOM2-L3-gf2-short-r3              2846795      1901.0        21568903     14403.0        18193884     12149.3
MQOM2-L3-gf2-short-r5              2931550      1957.6        21559438     14396.8        19941518     13316.1
MQOM2-L3-gf16-fast-r3               522483       348.9         5650203      3773.0         5048532      3371.2
MQOM2-L3-gf16-fast-r5               489857       327.1         5097417      3403.8         4849094      3238.0
MQOM2-L3-gf16-short-r3              552078       368.7        18900171     12620.9        15649860     10450.2
MQOM2-L3-gf16-short-r5              553570       369.6        17922005     11967.5        16330382     10904.7
MQOM2-L3-gf256-fast-r3              564363       376.9         7317094      4886.0         6536590      4364.9
MQOM2-L3-gf256-fast-r5              530490       354.3         6242669      4168.6         5587853      3731.3
MQOM2-L3-gf256-short-r3             521853       348.5        24128808     16112.2        19431847     12975.8
MQOM2-L3-gf256-short-r5             508067       339.3        19084635     12743.9        15302231     10218.2
MQOM2-L5-gf2-fast-r3               3885031      2594.3        19948321     13320.6        18452522     12321.9
MQOM2-L5-gf2-fast-r5               3253769      2172.8        16411482     10958.9        15000327     10016.6
MQOM2-L5-gf2-short-r3              3535954      2361.0        26686721     17820.3        22360135     14931.2
MQOM2-L5-gf2-short-r5              4265574      2848.4        30237117     20191.1        26741762     17857.0
MQOM2-L5-gf16-fast-r3               856108       571.8         9131696      6097.8         8907978      5948.4
MQOM2-L5-gf16-fast-r5               868116       579.7         9490368      6337.3         8893759      5938.9
MQOM2-L5-gf16-short-r3              932217       622.6        24039485     16052.5        20574307     13738.6
MQOM2-L5-gf16-short-r5              985154       657.9        24464792     16336.5        24094671     16089.4
MQOM2-L5-gf256-fast-r3              820488       547.9        12591228      8407.9        10363099      6920.0
MQOM2-L5-gf256-fast-r5              885631       591.4        12127870      8098.4        10888535      7270.9
MQOM2-L5-gf256-short-r3             880665       588.1        36777879     24558.6        30021595     20047.3
MQOM2-L5-gf256-short-r5             827257       552.4        26719114     17842.0        21849573     14590.3
SQIsign-I                         33445956     22333.6        71845833     47975.2         5611950      3747.4
SQIsign-III                       94521404     63116.7       220388169    147164.7        14436893      9640.3
SQIsign-V                        126238880     84296.7       302607728    202066.7        22477683     15009.5

