scheme                       iters    keygen (cyc)  keygen (us)      sign (cyc)   sign (us)    verify (cyc)  verify (us)
------                       -----    ------------  -----------      ----------   ---------    ------------  ----------
MQOM2-L1-gf256-fast-r3         200           81319        54.3         1485878       992.2         1121504       748.9
MQOM2-L1-gf256-fast-r5         200           98463        65.8         1667800      1113.7         1257482       839.7
MQOM2-L1-gf256-short-r3        200           65775        43.9         4308384      2877.0         2904275      1939.4
MQOM2-L1-gf256-short-r5        200           74752        49.9         4135908      2761.8         2699047      1802.3
MQOM2-L3-gf2-fast-r3           100         2368843      1581.9         9787215      6535.6         9063222      6052.1
MQOM2-L3-gf2-fast-r5           100         2476993      1653.8         9485626      6334.3         9236780      6168.0
MQOM2-L3-gf2-short-r3          100         2333766      1558.5        17394851     11615.6        15108360     10088.8
MQOM2-L3-gf2-short-r5          100         2559343      1709.2        18508077     12358.9        17174072     11468.2
MQOM2-L3-gf16-fast-r3          100          399321       266.7         4584260      3061.2         4118923      2750.5
MQOM2-L3-gf16-fast-r5          100          516099       344.6         5214842      3482.3         4934734      3295.2
MQOM2-L3-gf16-short-r3         100          523102       349.3        18244249     12182.8        15243532     10179.0
MQOM2-L3-gf16-short-r5         100          527434       352.2        16851721     11253.0        15734002     10506.5
MQOM2-L3-gf256-fast-r3         100          477385       318.8         6297764      4205.4         5783896      3862.3
MQOM2-L3-gf256-fast-r5         100          517381       345.5         5728302      3825.2         5272582      3520.8
MQOM2-L3-gf256-short-r3        100          526974       351.9        23197976     15490.6        18959668     12660.4
MQOM2-L3-gf256-short-r5        100          443614       296.3        16790929     11212.3        12955351      8651.1
MQOM2-L5-gf2-fast-r3            50         3993057      2666.5        20359876     13595.7        20035114     13378.9
MQOM2-L5-gf2-fast-r5            50         3182577      2125.3        15166102     10127.4        14365332      9592.6
MQOM2-L5-gf2-short-r3           50         4538853      3030.9        31709253     21174.3        27943539     18659.7
MQOM2-L5-gf2-short-r5           50         4280617      2858.6        29952875     20001.3        26939385     17989.4
MQOM2-L5-gf16-fast-r3           50          929548       620.8        10072359      6725.9         9197226      6141.5
MQOM2-L5-gf16-fast-r5           50          741618       495.2         8231723      5496.8         8041612      5369.8
MQOM2-L5-gf16-short-r3          50          956762       639.0        25428959     16980.7        22695504     15155.0
MQOM2-L5-gf16-short-r5          50          875850       584.9        21898170     14622.7        22260311     14864.5
MQOM2-L5-gf256-fast-r3          50          768175       513.0        11220345      7492.4         9586952      6401.8
MQOM2-L5-gf256-fast-r5          50          748896       500.1        10111202      6751.8         8981842      5997.7
MQOM2-L5-gf256-short-r3         50          821622       548.7        33448461     22335.6        27287301     18221.2
MQOM2-L5-gf256-short-r5         50          804979       537.5        24286364     16217.5        21222388     14171.5
SQIsign-I                       50        32564411     21745.2        73959629     49386.9         5151282      3439.8
SQIsign-III                     50        86148745     57526.3       194918816    130157.8        13710313      9155.3
SQIsign-V                       50       143251006     95656.3       323022851    215699.2        26679166     17815.3

