scheme                       iters    keygen (cyc)  keygen (us)      sign (cyc)   sign (us)    verify (cyc)  verify (us)
------                       -----    ------------  -----------      ----------   ---------    ------------  ----------
UOV-III-pkc                     50         5821629      3887.6           95697        64.0          272110       181.7
UOV-III-classic                 50         6622737      4422.4          110575        73.9           94662        63.2
UOV-V-pkc                       50        13333425      8903.5          180345       120.5          570475       381.0
UOV-V-classic                   50        17262645     11527.2          244046       163.0          165893       110.9
QR-UOV-I-(127,156,54,3)        200        17688140     11811.3         2873873      1919.0         2390883      1596.5
QR-UOV-I-(31,165,60,3)         200        23903136     15961.4         3791952      2532.1         3273322      2185.9
QR-UOV-I-(31,600,70,10)        200        68403057     45676.2        16963972     11327.8        16410995     10958.5
QR-UOV-I-(7,740,100,10)        200       228354147    152483.9        48004440     32055.0        46459639     31023.4
QR-UOV-III-(127,228,78,3)      100        71779341     47930.8         8807787      5881.7         7820983      5222.6
QR-UOV-III-(31,246,87,3)       100       106008156     70787.0        13074812      8730.8        11477191      7663.9
QR-UOV-III-(31,890,100,10)     100       290522966    193997.7        56919057     38007.8        55216091     36870.7
QR-UOV-III-(7,1100,140,10)     100       917318538    612539.8       149441642     99790.0       141853756     94723.5
QR-UOV-V-(127,306,105,3)        50       226364239    151156.5        21719806     14503.5        18633492     12442.5
QR-UOV-V-(31,324,114,3)         50       264344996    176517.0        27046241     18060.3        22705611     15161.8
QR-UOV-V-(31,1120,120,10)       50       674350012    450297.7       109880405     73372.9       106180529     70902.5
QR-UOV-V-(7,1490,190,10)        50      3204851763   2140040.0       398473365    266081.2       371433850    248025.5
MQOM2-L1-gf2-fast-r3           200          286362       191.7         2205057      1472.5         1827268      1220.2
MQOM2-L1-gf2-fast-r5           200          275389       183.9         1979274      1321.7         1734750      1158.4
MQOM2-L1-gf2-short-r3          200          330912       221.0         3942178      2632.4         3278494      2189.3
MQOM2-L1-gf2-short-r5          200          328266       219.2         3888644      2596.7         3328574      2222.9
MQOM2-L1-gf16-fast-r3          200           96923        64.7         1296166       865.5         1066164       712.0
MQOM2-L1-gf16-fast-r5          200           90826        60.7         1134291       757.4          911403       608.6
MQOM2-L1-gf16-short-r3         200          106442        71.1         4255955      2842.0         3107428      2075.1
MQOM2-L1-gf16-short-r5         200          103009        68.8         3712782      2479.3         2908446      1942.2
MQOM2-L1-gf256-fast-r3         200           98411        65.7         1765982      1179.3         1388749       927.4
MQOM2-L1-gf256-fast-r5         200           94263        62.9         1570066      1048.4         1205051       804.7
MQOM2-L1-gf256-short-r3        200           77025        51.4         5233944      3495.1         3511773      2345.1
MQOM2-L1-gf256-short-r5        200           78364        52.3         4319491      2884.4         2823134      1885.2
MQOM2-L3-gf2-fast-r3           100         2338984      1561.9         9337592      6235.3         9043853      6039.1
MQOM2-L3-gf2-fast-r5           100         1981544      1323.2         8131337      5429.8         7774733      5191.7
MQOM2-L3-gf2-short-r3          100         2233781      1491.7        17168723     11464.6        14827944      9901.4
MQOM2-L3-gf2-short-r5          100         2828155      1888.7        21330908     14244.2        19778156     13207.3
MQOM2-L3-gf16-fast-r3          100          501102       334.6         5498398      3671.7         4922950      3287.3
MQOM2-L3-gf16-fast-r5          100          515849       344.6         5325544      3556.2         5039725      3365.4
MQOM2-L3-gf16-short-r3         100          553960       369.9        19290112     12881.1        15621690     10431.4
MQOM2-L3-gf16-short-r5         100          539420       360.2        16933726     11308.0        16051019     10718.1
MQOM2-L3-gf256-fast-r3         100          628247       419.6         7943962      5304.8         6888380      4599.8
MQOM2-L3-gf256-fast-r5         100          575792       384.5         6304829      4210.2         5775838      3856.9
MQOM2-L3-gf256-short-r3        100          502114       335.3        23465582     15669.4        19123924     12770.1
MQOM2-L3-gf256-short-r5        100          462190       308.6        17342204     11580.3        13528097      9033.4
