scheme                       iters    keygen (cyc)  keygen (us)      sign (cyc)   sign (us)    verify (cyc)  verify (us)
------                       -----    ------------  -----------      ----------   ---------    ------------  ----------
MQOM2-L3-gf2-short-r3          100         5562622      1985.2        40336517     14754.1        35261699     12410.0
MQOM2-L3-gf2-short-r5          100         5584214      1918.1        41236775     14528.4        38315802     13364.3
MQOM2-L3-gf16-fast-r3          100         1034727       368.6        11212107      3817.8         9996560      3434.9
MQOM2-L3-gf16-fast-r5          100         1037860       358.3        10579569      3732.7        10066410      3562.1
MQOM2-L3-gf16-short-r3         100         1114509       371.7        38453072     13442.8        31804884     10979.6
MQOM2-L3-gf16-short-r5         100         1112258       376.0        35199104     12305.9        32548072     11347.3
MQOM2-L3-gf256-fast-r3         100         1119907       376.6        14604958      4843.2        13101416      4448.5
MQOM2-L3-gf256-fast-r5         100         1119998       381.0        12613061      4280.3        11268603      3737.8
MQOM2-L3-gf256-short-r3        100         1054491       353.9        46774635     15765.5        38525094     12747.5
MQOM2-L3-gf256-short-r5        100         1048025       345.3        37956049     11906.3        30257511      9634.1
MQOM2-L5-gf2-fast-r3            50         7311017      2362.4        39875540     13154.5        37482141     11982.4
MQOM2-L5-gf2-fast-r5            50         7389093      2552.4        36129860     12745.6        33785629     11676.2
MQOM2-L5-gf2-short-r3           50         8858869      3026.7        63815728     22047.8        55563390     19124.5
MQOM2-L5-gf2-short-r5           50         8859119      3010.2        63632405     22022.2        56110063     19569.1
MQOM2-L5-gf16-fast-r3           50         1870694       675.1        20123618      7007.8        19001056      6594.8
MQOM2-L5-gf16-fast-r5           50         1882300       676.9        19804541      7194.9        19508678      6914.5
MQOM2-L5-gf16-short-r3          50         2087820       727.2        54713750     18601.8        46745260     16140.6
MQOM2-L5-gf16-short-r5          50         2106968       763.2        52883507     18984.1        51644620     18444.1
MQOM2-L5-gf256-fast-r3          50         1780189       610.9        26429869      9145.3        22966592      8033.8
MQOM2-L5-gf256-fast-r5          50         1784722       604.3        24057541      7672.0        21481890      6707.9
MQOM2-L5-gf256-short-r3         50         1608467       536.2        66442493     22710.9        54107203     18379.7
MQOM2-L5-gf256-short-r5         50         1650653       561.3        53635722     19003.3        43958975     15376.0
SQIsign-I                       50        67335115     22687.6       149914856     50152.3        10597322      3505.2
SQIsign-III                     50       177342039     59661.0       399334535    135102.5        28482022      9460.8
SQIsign-V                       50       297145644    102726.6       683622680    232096.2        55909970     18838.7

