scheme                        keygen (cyc)  keygen (us)      sign (cyc)   sign (us)    verify (cyc)  verify (us)
------                        ------------  -----------      ----------   ---------    ------------  ----------
MQOM2-L3-gf16-short-r3              560108       374.0        19537817     13046.5        16144443     10780.5
MQOM2-L3-gf16-short-r5              535972       357.9        17513472     11695.1        16457287     10989.4
MQOM2-L3-gf256-fast-r3              514742       343.8         7028824      4693.6         6223385      4155.8
MQOM2-L3-gf256-fast-r5              540540       361.0         6067523      4051.7         5679744      3792.7
MQOM2-L3-gf256-short-r3             483694       323.0        22485431     15014.9        18299356     12219.6
MQOM2-L3-gf256-short-r5             526679       351.7        19374096     12937.2        15602949     10418.9
MQOM2-L5-gf2-fast-r3               3685384      2461.1        19514222     13030.8        17857085     11924.3
MQOM2-L5-gf2-fast-r5               3889107      2597.1        18878935     12606.6        18263865     12195.9
MQOM2-L5-gf2-short-r3              4584439      3061.4        32817195     21914.3        28922574     19313.5
MQOM2-L5-gf2-short-r5              4328226      2890.3        31227601     20852.6        29073643     19414.2
MQOM2-L5-gf16-fast-r3               946412       632.0         9930368      6631.1         9238246      6168.9
MQOM2-L5-gf16-fast-r5               904164       603.8         9778922      6530.0         9352018      6244.8
MQOM2-L5-gf16-short-r3             1046704       699.0        27262225     18204.7        23581606     15746.8
MQOM2-L5-gf16-short-r5              965079       644.5        25258764     16866.9        24109252     16099.5
MQOM2-L5-gf256-fast-r3              913054       609.7        12860948      8588.0        11202204      7480.3
MQOM2-L5-gf256-fast-r5              862856       576.2        11692163      7807.7        10101250      6745.2
MQOM2-L5-gf256-short-r3             817013       545.6        34080593     22757.5        27785000     18553.6
MQOM2-L5-gf256-short-r5             869228       580.5        27101925     18097.5        22615995     15102.1
SQIsign-I                         34182744     22825.8        70330210     46963.3         5251891      3507.0
SQIsign-III                       95175312     63553.7       219292297    146432.7        14278048      9534.2
SQIsign-V                        167491361    111842.6       328946358    219654.2        27806485     18567.9

